"Código","Nome","UF","Latitude","Longitude","Altitude","Fundação","DataFinal"
"A230","SERRA DOS CARAJAS","PA",-6.0774,-50.1423,707,"2008-09-03","2022-12-31"
"A231","ITAITUBA","PA",-4.2769,-55.9931,24.46,"2008-02-17","2022-12-31"
"A232","OBIDOS","PA",-1.8808,-55.5197,89.64,"2012-07-05","2022-12-31"
"A233","SANTANA DO ARAGUAIA","PA",-9.3386,-50.3503,176.75,"2008-05-30","2022-12-31"
"A234","TUCUMA","PA",-6.7433,-51.1419,320.93,"2008-07-18","2022-12-31"
"A235","NOVO REPARTIMENTO","PA",-4.2439,-49.9394,100.76,"2008-07-23","2022-12-31"
"A236","CAMETA","PA",-2.2397,-49.4997,9.92,"2008-06-20","2022-12-31"
"A239","MONTE ALEGRE","PA",-2.0001,-54.0764,100.53,"2012-07-06","2022-12-31"
"A240","MARABA","PA",-5.3664,-49.0511,116.58,"2009-06-25","2022-12-31"
"A241","CONCEICAO DO ARAGUAIA","PA",-8.3036,-49.2828,175.74,"2008-09-04","2022-12-31"
"A246","MINA DO PALITO","PA",-6.32,-55.7878,259.88,"2010-09-28","2022-12-31"
"A247","XINGUARA","PA",-7.1106,-49.9261,245,"2016-09-11","2022-12-31"
"A248","CAPITAO POCO","PA",-1.7348,-47.0575,79.1,"2011-04-18","2022-12-31"
"A250","SANTAREM","PA",-2.5025,-54.7203,137,"2015-09-02","2022-12-31"
"A252","DOM ELISEU","PA",-4.2806,-47.564,251,"2018-03-08","2022-12-31"
"A253","ALTAMIRA","PA",-3.2703,-52.3947,191,"2018-10-25","2022-12-31"
"A254","REDENCAO","PA",-8.0433,-50.0069,199,"2019-07-11","2022-12-31"
"A925","PORTO VELHO","RO",-8.7936,-63.8458,86.7,"2007-07-11","2022-12-31"
"A938","VILHENA","RO",-12.735,-60.1578,583.3,"2008-08-26","2022-12-31"
"A939","CACOAL","RO",-11.4458,-61.4341,183.53,"2008-07-20","2022-12-31"
