"Date","Tair_mean (c)","Tair_min (c)","Tair_max (c)","Dew_tmean (c)","Dew_tmin (c)","Dew_tmax (c)","Dry_bulb_t (c)","Rainfall (mm)","Patm (mB)","Rh_mean (porc)","Rh_max (porc)","Rh_min (porc)","Ws_10 (m s-1)","Ws_2 (m s-1)","Ws_gust (m s-1)","Wd (degrees)","Sr (Mj m-2 day-1)","DOY","Ra (Mj m-2 day-1)","Station_code","Station","UF","Longitude (degrees)","Latitude (degrees)","Altitude (m)","eto"
2001-02-10,23.7229166666667,18.2,29.4,14.33125,9.1,18.6,23.7458333333333,0,885.195833333333,59.625,93,29,1.87083333333333,1.39887692120063,8.6,102.916666666667,25.946,41,40.154565005459,"A001","BRASILIA","DF",-47.925833,-15.789444,1159.54,5.57242246077726
2001-02-11,23.48125,16.8,29.5,11.4729166666667,7.5,14.1,23.4083333333333,0,885.7875,48.8333333333333,77,26,2.4625,1.84128343080083,10.4,109.416666666667,29.073,42,40.0997354956157,"A001","BRASILIA","DF",-47.925833,-15.789444,1159.54,6.3581966309376
2001-02-12,23.8,17.4,30.2,11.1020833333333,7.5,15,23.95,0,886.308333333333,46.3333333333333,74,25,1.80416666666667,1.34902830040061,8.5,96,29.263,43,40.0429655538732,"A001","BRASILIA","DF",-47.925833,-15.789444,1159.54,6.13001785720633
2001-02-13,24.2520833333333,18.8,29.6,12.1729166666667,9.3,15,24.2208333333333,0,885.504166666667,48.3333333333333,72,31,1.59166666666667,1.19013582160054,6.6,147.083333333333,22.581,44,39.984230050537,"A001","BRASILIA","DF",-47.925833,-15.789444,1159.54,5.08192008036231
2001-02-14,20.4354166666667,17.5,26.7,16.8020833333333,14.8,18,20.35,11,885.408333333333,81.0416666666667,93,53,1.8625,1.39264584360063,9.8,198.416666666667,12.301,45,39.9235051023091,"A001","BRASILIA","DF",-47.925833,-15.789444,1159.54,3.1243469536056
2001-02-15,20.9770833333333,16.1,26.8,15.4708333333333,12.9,17.6,21.1041666666667,0.2,885.429166666667,72.0833333333333,93,45,1.52916666666667,1.14340273960052,8.1,191.75,19.927,46,39.860768137431,"A001","BRASILIA","DF",-47.925833,-15.789444,1159.54,4.15939193103746
2001-02-16,20.4145833333333,17.5,27.1,16.8458333333333,14.8,18.6,20.3833333333333,1.2,886.683333333333,81.2916666666667,95,47,1.77083333333333,1.3241039900006,10.5,192.25,15.055,47,39.7959979593208,"A001","BRASILIA","DF",-47.925833,-15.789444,1159.54,3.56527550071905
2001-02-17,21.6,17.9,28.1,16.5083333333333,14.9,18.6,21.675,2,887.383333333333,74.0833333333333,91,45,1.3375,1.00008795480045,7.9,160.875,18.021,48,39.7291748085825,"A001","BRASILIA","DF",-47.925833,-15.789444,1159.54,3.9439583680375
2001-02-18,22.83125,17.1,28.3,16.1208333333333,13,18.7,22.8833333333333,0,888.308333333333,67.375,94,41,2.2125,1.65435110280075,8.6,112.5,26.119,49,39.6602804232679,"A001","BRASILIA","DF",-47.925833,-15.789444,1159.54,5.41369640276072
2001-02-19,23.3854166666667,16.8,29,12.9645833333333,7.8,16.7,23.4291666666667,0,887.675,55.4166666666667,88,27,1.9625,1.46741877480066,7.9,125.541666666667,29.927,50,39.5892980972745,"A001","BRASILIA","DF",-47.925833,-15.789444,1159.54,6.07374859935697
2001-02-20,22.2145833333333,18.1,26.7,15.63125,12.7,18.8,22.1958333333333,0.2,887.008333333333,67.1666666666667,89,48,2.04583333333333,1.52972955080069,14.6,193.5,23.065,51,39.5162127367654,"A001","BRASILIA","DF",-47.925833,-15.789444,1159.54,4.77449443090928
2001-02-21,21.5791666666667,18.2,28.8,16.3583333333333,14.2,18.2,21.4791666666667,14.6,886.608333333333,74.4583333333333,94,42,1.92083333333333,1.43626338680065,11.1,164.166666666667,22.559,52,39.4410109144989,"A001","BRASILIA","DF",-47.925833,-15.789444,1159.54,4.84968046648304
2001-02-22,20.8729166666667,16.6,27.8,16.5895833333333,14.2,18.8,20.7875,2.6,886.495833333333,78.3333333333333,93,45,2.2125,1.65435110280075,12.1,197.416666666667,20.467,53,39.3636809219616,"A001","BRASILIA","DF",-47.925833,-15.789444,1159.54,4.51200031750281
2001-02-23,21.8145833333333,17.7,27.3,16.8833333333333,13.7,18.5,21.8333333333333,0.2,886.983333333333,75.4583333333333,95,43,1.10833333333333,0.828733320800373,7.8,163.833333333333,16.02,54,39.2842128192001,"A001","BRASILIA","DF",-47.925833,-15.789444,1159.54,3.5194734683732
2001-02-24,22.3854166666667,18,29.6,16.0541666666667,11.3,18,22.3208333333333,18.4,886.679166666667,70.1666666666667,90,33,NA,NA,NA,NA,23.446,55,39.2025984822514,"A001","BRASILIA","DF",-47.925833,-15.789444,1159.54,NA
2001-02-25,21.025,17.7,27.9,16.2104166666667,13.8,18.2,20.9791666666667,1.6,886.15,75.4166666666667,93,44,2.08333333333333,1.5577694000007,9.2,180,22.305,56,39.1188316480777,"A001","BRASILIA","DF",-47.925833,-15.789444,1159.54,4.74659841292464
2001-02-26,22.3791666666667,17.4,28.2,16.1166666666667,12.7,18.7,22.4666666666667,1.8,885.270833333333,69.5,87,39,2.4625,1.84128343080083,13.4,114.166666666667,25.837,57,39.0329079569119,"A001","BRASILIA","DF",-47.925833,-15.789444,1159.54,5.50356213425609
2001-02-27,22.0395833333333,18.3,25.8,16.8625,13.7,18.2,21.9666666666667,5.8,886.245833333333,73.375,95,57,2.77916666666667,2.07806437960094,13,105.25,21.241,58,38.9448249919308,"A001","BRASILIA","DF",-47.925833,-15.789444,1159.54,4.38836589248813
2001-02-28,20.0916666666667,16.3,25.5,16.0645833333333,14.6,17.8,19.9666666666667,12,887.433333333333,78.75,96,55,2.97083333333333,2.221379164401,14.3,82.8333333333333,18.819,59,38.8545823161724,"A001","BRASILIA","DF",-47.925833,-15.789444,1159.54,4.03700839220171
2001-03-01,20.6854166666667,16.9,25.6,16.6916666666667,14.3,18.6,20.6625,3.6,886.991666666667,79.1666666666667,94,55,1.71666666666667,1.28360198560058,8,166.833333333333,17.912,60,38.7621815066224,"A001","BRASILIA","DF",-47.925833,-15.789444,1159.54,3.71720903884532
2001-03-02,20.2979166666667,17.2,26.6,16.7833333333333,14.4,19,20.2208333333333,4.8,888.125,82,95,52,1.84166666666667,1.37706814960062,8.8,143.916666666667,17.692,61,38.6676261853999,"A001","BRASILIA","DF",-47.925833,-15.789444,1159.54,3.79707997432069
2001-03-03,19.9895833333333,18.1,24.7,17.5145833333333,16.4,19.5,19.9833333333333,0.6,889.0375,86.4166666666667,94,66,2.93333333333333,2.19333931520099,10.1,111.708333333333,14.65,62,38.5709220479774,"A001","BRASILIA","DF",-47.925833,-15.789444,1159.54,3.24547330626435
2001-03-04,21.16875,18.4,26.4,17.6791666666667,15.9,20.1,21.1458333333333,2,888.104166666667,81.5,94,54,1.40416666666667,1.04993657560047,6,188.458333333333,15.019,63,38.4720768883765,"A001","BRASILIA","DF",-47.925833,-15.789444,1159.54,3.31061508756658
